ID,Semaine,Province,Pluviometrie_mm,Temperature_C,NDVI,Humidite_pct,Densite_Population,Couverture_Vaccinale_pct,Tests_Realises,Distance_Centre_Sante_km,Reservoirs_Animaux,Mobilite_Humaine,Cas_Confirmes,Saison,Population_Risque,Taux_Positivite_pct
OBS_00068,68,Bas-Uele,165,19.4,0.716,73,216,47.6,400,6,0,3,148,Pluie,9585,37.0
OBS_00069,69,Kongo Central,265,19.4,0.261,95,142,41.9,210,4,0,3,38,Pluie,9662,18.1
OBS_00070,70,Mongala,366,26.3,0.463,81,38,42.6,540,21,0,7,369,Pluie,3481,68.33
OBS_00071,71,Kongo Central,5,24.0,0.512,72,104,53.9,170,3,1,5,11,Seche,1847,6.47
OBS_00072,72,Kongo Central,270,24.5,0.45,48,182,27.5,390,7,0,6,216,Pluie,6535,55.38
OBS_00073,73,Lomami,38,23.6,0.66,63,23,15.3,140,11,0,5,15,Seche,1370,10.71
OBS_00074,74,Ituri,251,28.2,0.281,95,43,53.3,130,3,0,3,43,Pluie,4981,33.08
OBS_00075,75,Kinshasa,127,29.7,0.586,80,26,17.5,250,5,1,5,122,Pluie,8665,48.8
OBS_00076,76,Haut-Uele,91,31.2,0.592,88,136,35.1,250,26,0,5,35,Seche,7974,14.0
OBS_00077,77,Lomami,11,22.0,0.526,52,104,14.3,370,39,1,5,49,Seche,4126,13.24
OBS_00078,78,Sud-Ubangi,53,26.0,0.355,79,13,26.9,310,17,0,4,43,Seche,6062,13.87
OBS_00079,79,Haut-Lomami,36,21.4,0.491,68,80,45.4,280,16,1,4,11,Seche,5469,3.93
OBS_00080,80,Bas-Uele,152,20.3,0.693,95,69,36.0,240,52,1,6,26,Pluie,1178,10.83
OBS_00081,81,Haut-Lomami,75,28.0,0.476,59,74,43.3,340,30,1,10,22,Seche,9588,6.47
OBS_00082,82,Ituri,319,25.6,0.276,90,33,24.6,150,10,1,1,71,Pluie,5378,47.33
OBS_00083,83,Kwilu,90,25.0,0.176,74,69,48.8,270,4,0,4,29,Seche,1821,10.74
OBS_00084,84,Sankuru,167,25.4,0.591,76,29,21.3,250,21,0,8,59,Pluie,9556,23.6
OBS_00085,85,Kasaï,98,20.7,0.348,74,161,38.7,320,16,1,6,45,Seche,9475,14.06
OBS_00086,86,Haut-Katanga,89,27.2,0.394,61,167,18.7,230,13,0,4,41,Seche,9965,17.83
OBS_00087,87,Tshuapa,155,24.2,0.469,60,56,35.3,280,1,1,5,36,Pluie,7678,12.86
OBS_00088,88,Mongala,76,23.5,0.453,69,53,38.2,310,1,0,7,27,Seche,8240,8.71
OBS_00089,89,Kasaï-Oriental,191,22.3,0.22,60,57,28.3,370,6,0,4,93,Pluie,1263,25.14
OBS_00090,90,Haut-Katanga,214,21.3,0.645,63,56,23.4,310,7,1,3,121,Pluie,5054,39.03
OBS_00091,91,Sankuru,130,23.3,0.333,63,134,43.7,260,9,0,5,24,Pluie,2885,9.23
OBS_00092,92,Kasaï,400,25.1,0.211,52,29,46.3,370,40,0,5,138,Pluie,7050,37.3
OBS_00093,93,Kwango,102,28.1,0.542,64,138,47.3,280,13,0,3,31,Pluie,1505,11.07
OBS_00094,94,Kwango,73,25.8,0.53,64,127,34.5,240,17,1,4,22,Seche,8284,9.17
OBS_00095,95,Kasaï-Central,20,25.9,0.105,80,241,23.7,210,15,1,6,44,Seche,1150,20.95
OBS_00096,96,Tshopo,94,29.3,0.397,95,38,15.5,250,11,1,4,56,Seche,3317,22.4
OBS_00097,97,Bas-Uele,78,25.2,0.385,74,134,28.3,300,22,0,3,34,Seche,7841,11.33
OBS_00098,98,Sud-Kivu,174,23.1,0.654,65,176,31.8,220,11,1,6,89,Pluie,6346,40.45
OBS_00099,99,Haut-Katanga,92,29.2,0.602,56,5,56.3,320,49,1,5,8,Seche,5475,2.5
OBS_00100,100,Équateur,254,22.3,0.59,91,6,27.3,240,19,0,6,68,Pluie,2136,28.33
OBS_00101,101,Maniema,35,26.4,0.649,57,101,51.1,310,5,1,5,20,Seche,1457,6.45
OBS_00102,102,Nord-Ubangi,240,28.9,0.395,62,163,45.2,360,2,0,3,124,Pluie,1268,34.44
OBS_00103,103,Lualaba,67,23.2,0.133,72,143,31.0,280,11,0,7,47,Seche,8597,16.79
OBS_00104,104,Kongo Central,245,21.7,0.403,70,44,61.4,200,7,1,7,16,Pluie,2836,8.0
OBS_00105,105,Sud-Kivu,13,23.1,0.504,95,432,32.8,350,23,1,4,79,Seche,5755,22.57
OBS_00106,106,Kasaï-Oriental,87,23.2,0.358,79,62,52.6,360,12,0,7,17,Seche,2169,4.72
OBS_00107,107,Kinshasa,67,27.0,0.465,63,90,33.7,190,8,0,6,12,Seche,2836,6.32
OBS_00108,108,Sankuru,400,34.0,0.604,91,93,31.5,440,16,0,7,356,Pluie,8476,80.91
OBS_00109,109,Lualaba,199,27.8,0.528,60,93,30.2,330,10,0,6,162,Pluie,4072,49.09
OBS_00110,110,Lualaba,81,27.4,0.393,73,117,19.0,270,26,0,6,40,Seche,6928,14.81
OBS_00111,111,Tshuapa,133,18.0,0.681,79,161,14.5,180,1,0,4,68,Pluie,3594,37.78
OBS_00112,112,Haut-Katanga,400,18.0,0.604,77,140,54.5,190,3,0,6,104,Pluie,8397,54.74
OBS_00113,113,Tshopo,221,31.7,0.37,79,18,33.8,270,2,0,3,111,Pluie,1673,41.11
OBS_00114,114,Nord-Ubangi,400,25.1,0.353,86,475,43.6,180,13,1,6,139,Pluie,1091,77.22
OBS_00115,115,Tshopo,262,25.6,0.404,75,226,12.8,240,4,0,5,145,Pluie,1965,60.42
OBS_00116,116,Kinshasa,100,27.2,0.351,76,180,59.3,390,9,0,1,63,Seche,9544,16.15
OBS_00117,117,Bas-Uele,46,23.7,0.284,95,223,47.7,370,14,0,7,30,Seche,7305,8.11
OBS_00118,118,Sankuru,93,29.5,0.587,69,51,43.3,310,26,0,8,19,Seche,7157,6.13
OBS_00119,119,Ituri,38,20.7,0.529,73,155,33.1,450,5,1,9,64,Seche,9770,14.22
OBS_00120,120,Nord-Ubangi,145,23.5,0.381,68,113,28.9,390,20,0,4,85,Pluie,7168,21.79
OBS_00121,121,Sud-Ubangi,153,25.5,0.583,74,100,26.1,200,8,0,5,43,Pluie,2419,21.5
OBS_00122,122,Sud-Kivu,269,27.2,0.698,75,186,17.4,300,12,1,6,185,Pluie,7450,61.67
OBS_00123,123,Haut-Uele,66,31.4,0.288,75,39,23.4,210,1,0,6,15,Seche,5011,7.14
OBS_00124,124,Ituri,66,20.5,0.496,80,7,48.7,310,13,1,5,15,Seche,3423,4.84
OBS_00125,125,Maniema,305,25.6,0.513,79,175,37.2,350,9,0,8,232,Pluie,3733,66.29
OBS_00126,126,Kasaï-Central,156,25.8,0.527,70,131,35.4,370,7,0,4,105,Pluie,3497,28.38
OBS_00127,127,Tshopo,136,23.7,0.568,83,36,54.1,370,40,0,3,58,Pluie,6340,15.68
OBS_00128,128,Kasaï,356,25.7,0.687,75,93,29.6,220,6,1,5,155,Pluie,9101,70.45
OBS_00129,129,Kasaï,13,33.9,0.247,85,79,10.4,270,30,1,6,46,Seche,1962,17.04
OBS_00130,130,Tshopo,391,25.4,0.602,66,193,19.9,350,4,0,8,329,Pluie,3452,94.0
OBS_00131,131,Kasaï-Oriental,282,30.7,0.418,95,50,46.2,230,71,0,3,26,Pluie,1220,11.3
OBS_00132,132,Bas-Uele,184,27.0,0.672,72,70,25.1,350,21,0,3,144,Pluie,9767,41.14
OBS_00133,133,Lualaba,107,22.4,0.427,86,196,40.2,360,5,0,4,59,Pluie,9496,16.39
OBS_00134,134,Haut-Lomami,188,30.4,0.701,76,175,68.7,170,50,0,5,18,Pluie,9321,10.59
OBS_00135,135,Kinshasa,184,24.5,0.502,71,76,35.0,130,1,0,4,26,Pluie,3702,20.0
OBS_00136,136,Kinshasa,22,25.5,0.432,74,212,36.6,230,14,0,5,21,Seche,6298,9.13
OBS_00137,137,Lualaba,258,32.9,0.626,58,177,28.4,450,3,0,6,333,Pluie,6679,74.0
OBS_00138,138,Équateur,200,24.3,0.519,73,162,44.6,280,18,1,7,84,Pluie,5271,30.0
OBS_00139,139,Kwango,212,22.1,0.622,65,5,34.6,470,17,0,4,106,Pluie,1112,22.55
OBS_00140,140,Haut-Katanga,21,27.4,0.406,67,30,23.8,330,4,0,5,13,Seche,7950,3.94
OBS_00141,141,Sud-Kivu,227,29.8,0.315,60,83,57.5,370,7,1,3,55,Pluie,1885,14.86
OBS_00142,142,Haut-Katanga,98,25.6,0.71,77,48,36.5,800,3,1,4,276,Seche,1231,34.5
OBS_00143,143,Kasaï-Central,299,23.7,0.176,95,128,42.9,320,25,0,6,118,Pluie,3052,36.88
OBS_00144,144,Nord-Kivu,127,23.5,0.535,42,13,13.2,240,13,1,6,92,Pluie,3709,38.33
OBS_00145,145,Équateur,224,22.0,0.201,80,194,58.3,140,14,0,4,12,Pluie,7079,8.57
OBS_00146,146,Haut-Katanga,74,22.7,0.325,61,54,53.6,320,34,0,2,4,Seche,2170,1.25
OBS_00147,147,Mai-Ndombe,225,22.1,0.323,78,77,41.6,210,45,1,5,46,Pluie,6551,21.9
OBS_00148,148,Tshopo,46,20.0,0.356,70,65,27.4,320,29,1,6,10,Seche,1001,3.12
OBS_00149,149,Lualaba,164,18.0,0.536,81,75,27.5,280,13,0,6,66,Pluie,5647,23.57
OBS_00150,150,Sud-Ubangi,30,26.1,0.441,84,121,33.7,300,3,1,5,26,Seche,9310,8.67
OBS_00151,151,Sankuru,378,27.6,0.151,85,32,34.0,340,1,0,4,249,Pluie,1289,73.24
OBS_00152,152,Mai-Ndombe,150,25.7,0.467,63,46,63.4,210,4,0,4,19,Pluie,7916,9.05
OBS_00153,153,Kasaï-Oriental,74,21.8,0.507,51,13,25.5,260,32,1,4,24,Seche,9130,9.23
OBS_00154,154,Kasaï,97,29.4,0.412,69,86,21.7,290,5,0,5,65,Seche,2933,22.41
OBS_00155,155,Kasaï-Oriental,236,23.4,0.629,72,124,9.6,310,30,0,4,161,Pluie,9828,51.94
OBS_00156,156,Haut-Lomami,83,26.6,0.565,80,126,28.5,480,9,0,5,191,Seche,4294,39.79
OBS_00157,157,Kasaï-Oriental,213,25.4,0.694,82,83,26.7,140,23,1,8,57,Pluie,4365,40.71
OBS_00158,158,Sankuru,228,19.5,0.605,74,19,27.3,310,4,0,7,83,Pluie,3683,26.77
OBS_00159,159,Nord-Ubangi,191,19.0,0.564,94,111,25.7,440,18,0,6,179,Pluie,7964,40.68
OBS_00160,160,Kasaï,361,22.5,0.331,69,192,46.5,210,21,0,3,89,Pluie,5759,42.38
OBS_00161,161,Tanganyika,253,22.3,0.382,87,20,27.0,220,2,0,4,84,Pluie,4094,38.18
OBS_00162,162,Ituri,33,27.9,0.335,82,172,38.7,350,4,0,3,50,Seche,7926,14.29
OBS_00163,163,Haut-Katanga,108,26.9,0.554,86,24,25.8,250,11,1,3,88,Pluie,2660,35.2
OBS_00164,164,Équateur,151,28.4,0.572,55,19,52.8,300,26,1,7,30,Pluie,8126,10.0
OBS_00165,165,Kasaï-Central,42,26.6,0.386,94,12,35.4,400,3,0,2,32,Seche,7143,8.0
OBS_00166,166,Kinshasa,127,26.0,0.685,74,16,48.5,220,6,0,3,26,Pluie,2045,11.82
OBS_00167,167,Ituri,145,23.0,0.31,87,67,19.1,150,24,1,4,35,Pluie,2069,23.33
OBS_00168,168,Haut-Lomami,46,21.4,0.698,71,32,13.8,400,29,1,5,49,Seche,7950,12.25
OBS_00169,169,Sud-Ubangi,116,25.7,0.441,85,65,38.7,320,10,1,9,41,Pluie,6861,12.81
OBS_00170,170,Haut-Lomami,166,24.6,0.722,64,30,30.5,230,22,0,9,39,Pluie,8919,16.96
OBS_00171,171,Kwilu,400,21.9,0.67,64,374,19.7,400,31,0,8,380,Pluie,4958,95.0
OBS_00172,172,Kasaï,294,22.8,0.177,60,131,36.8,230,4,0,7,81,Pluie,3964,35.22
OBS_00173,173,Kinshasa,156,26.5,0.726,56,36,21.7,170,17,0,4,55,Pluie,5380,32.35
OBS_00174,174,Mongala,46,24.4,0.724,73,52,15.9,320,7,0,3,50,Seche,6421,15.62
OBS_00175,175,Kasaï-Central,92,30.8,0.65,95,25,38.4,350,18,0,3,73,Seche,4417,20.86
OBS_00176,176,Tshopo,178,19.2,0.498,70,132,15.2,170,84,1,7,22,Pluie,1426,12.94
OBS_00177,177,Kwilu,256,28.4,0.47,95,242,14.0,280,4,1,3,193,Pluie,4338,68.93
OBS_00178,178,Tanganyika,244,18.0,0.468,81,74,49.3,220,5,1,2,24,Pluie,7815,10.91
OBS_00179,179,Mongala,83,23.8,0.501,85,93,62.4,420,2,1,7,57,Seche,8411,13.57
OBS_00180,180,Kasaï-Oriental,182,25.5,0.633,74,68,23.0,400,9,0,5,194,Pluie,2675,48.5
OBS_00181,181,Lualaba,126,21.1,0.58,71,160,21.7,320,1,1,5,127,Pluie,8065,39.69
OBS_00182,182,Kwilu,236,21.5,0.536,56,135,11.8,260,2,0,5,189,Pluie,8137,72.69
OBS_00183,183,Sankuru,132,33.4,0.528,60,335,21.1,280,11,0,6,161,Pluie,4253,57.5
OBS_00184,184,Tanganyika,178,28.5,0.377,95,171,41.9,190,8,1,5,30,Pluie,1208,15.79
OBS_00185,185,Kinshasa,228,19.1,0.684,82,62,13.1,380,4,0,8,275,Pluie,1405,72.37
OBS_00186,186,Kwango,72,23.9,0.358,61,14,22.5,360,7,1,8,38,Seche,1006,10.56
OBS_00187,187,Kinshasa,235,18.0,0.706,55,45,59.8,330,53,0,4,19,Pluie,2823,5.76
OBS_00188,188,Kasaï-Oriental,277,27.7,0.393,46,75,32.7,180,6,0,7,63,Pluie,3228,35.0
OBS_00189,189,Sud-Kivu,60,26.8,0.549,77,461,34.0,300,12,0,5,108,Seche,1622,36.0
OBS_00190,190,Lualaba,237,24.6,0.465,58,76,10.1,280,23,1,3,146,Pluie,9376,52.14
OBS_00191,191,Tshopo,44,23.8,0.395,56,5,16.8,420,1,1,3,38,Seche,3183,9.05
OBS_00192,192,Sud-Ubangi,137,21.5,0.189,76,86,14.7,350,14,0,8,98,Pluie,1720,28.0
OBS_00193,193,Kasaï,23,24.3,0.508,82,35,39.1,390,19,1,4,45,Seche,6574,11.54
OBS_00194,194,Bas-Uele,349,23.8,0.183,72,98,41.9,160,31,0,6,55,Pluie,4637,34.38
OBS_00195,195,Tshuapa,166,22.1,0.728,65,97,25.9,380,1,1,6,107,Pluie,3729,28.16
OBS_00196,196,Équateur,98,28.3,0.524,77,295,14.1,280,2,1,7,137,Seche,3279,48.93
OBS_00197,197,Haut-Katanga,170,33.0,0.67,66,135,58.6,280,50,0,3,42,Pluie,3661,15.0
OBS_00198,198,Lualaba,358,26.7,0.721,48,160,46.4,350,14,1,9,233,Pluie,2941,66.57
OBS_00199,199,Nord-Ubangi,334,27.1,0.584,67,25,26.8,270,22,0,4,144,Pluie,1061,53.33
OBS_00200,200,Kongo Central,31,27.5,0.48,61,215,9.7,270,22,0,4,55,Seche,3679,20.37
OBS_00201,201,Mongala,176,23.5,0.335,65,237,67.8,390,1,0,4,54,Pluie,5123,13.85
OBS_00202,202,Kasaï-Oriental,94,18.1,0.147,90,45,37.9,200,53,1,4,9,Seche,3643,4.5
OBS_00203,203,Sud-Ubangi,20,18.0,0.55,56,23,12.4,140,1,1,4,9,Seche,1083,6.43
OBS_00204,204,Sud-Kivu,310,23.2,0.349,63,114,21.3,210,5,1,3,127,Pluie,9011,60.48
OBS_00205,205,Tshuapa,311,25.4,0.498,77,24,26.8,200,13,1,5,95,Pluie,2011,47.5
OBS_00206,206,Équateur,111,24.6,0.395,66,15,26.5,350,22,1,6,43,Pluie,2588,12.29
OBS_00207,207,Haut-Uele,21,27.3,0.523,64,102,17.5,340,14,0,4,96,Seche,1468,28.24
OBS_00208,208,Haut-Katanga,75,24.7,0.426,75,195,24.7,150,11,0,2,19,Seche,2241,12.67
OBS_00209,209,Sud-Ubangi,22,20.8,0.443,50,236,27.0,220,13,0,5,7,Seche,7122,3.18
OBS_00210,210,Kasaï-Oriental,63,20.6,0.232,82,71,12.7,380,15,0,5,78,Seche,6303,20.53
OBS_00211,211,Kasaï,150,22.5,0.343,79,16,8.5,190,11,0,3,62,Pluie,4359,32.63
OBS_00212,212,Kwilu,139,25.8,0.759,68,25,12.5,260,14,0,6,66,Pluie,3231,25.38
OBS_00213,213,Haut-Lomami,301,28.5,0.587,51,145,46.1,300,30,0,5,84,Pluie,3796,28.0
OBS_00214,214,Sankuru,6,24.9,0.33,89,5,39.3,330,19,0,5,18,Seche,1515,5.45
OBS_00215,215,Maniema,37,24.9,0.733,83,20,33.7,210,34,1,4,10,Seche,2936,4.76
OBS_00216,216,Tanganyika,44,22.4,0.344,95,90,50.6,280,9,1,1,8,Seche,6855,2.86
OBS_00217,217,Haut-Uele,43,26.9,0.22,55,196,20.1,340,22,0,6,64,Seche,3461,18.82
OBS_00218,218,Haut-Uele,12,20.1,0.214,69,60,7.4,330,12,0,7,22,Seche,8100,6.67
OBS_00219,219,Kasaï-Oriental,286,34.0,0.516,61,123,33.8,280,4,0,2,185,Pluie,7409,66.07
OBS_00220,220,Sud-Kivu,19,25.0,0.158,70,54,21.8,250,10,1,3,20,Seche,6566,8.0
OBS_00221,221,Lualaba,221,28.5,0.541,66,329,26.7,210,7,0,9,117,Pluie,8088,55.71
OBS_00222,222,Kasaï,311,26.1,0.698,57,84,43.9,320,2,0,7,127,Pluie,4075,39.69
OBS_00223,223,Nord-Ubangi,151,23.8,0.756,61,56,19.1,280,5,1,5,115,Pluie,1673,41.07
OBS_00224,224,Nord-Kivu,121,23.7,0.596,63,67,18.9,130,3,0,7,35,Pluie,2090,26.92
OBS_00225,225,Kwango,91,24.6,0.356,59,115,6.7,280,5,0,6,93,Seche,7786,33.21
OBS_00226,226,Kasaï,102,33.0,0.156,69,135,26.0,260,7,1,6,58,Pluie,2931,22.31
OBS_00227,227,Kongo Central,44,27.0,0.572,60,95,47.2,280,2,0,7,22,Seche,3512,7.86
OBS_00228,228,Maniema,86,26.5,0.579,77,38,51.1,230,5,1,2,20,Seche,8197,8.7
OBS_00229,229,Ituri,209,26.9,0.492,79,112,22.1,150,3,0,4,54,Pluie,4588,36.0
OBS_00230,230,Kasaï-Central,37,25.0,0.331,70,138,27.1,240,2,0,2,17,Seche,6857,7.08
OBS_00231,231,Équateur,215,27.0,0.441,50,433,26.7,320,4,1,6,197,Pluie,5770,61.56
OBS_00232,232,Haut-Katanga,114,22.5,0.563,55,75,16.8,330,16,1,5,76,Pluie,6051,23.03
OBS_00233,233,Kasaï,88,34.0,0.481,72,92,13.4,300,3,1,8,78,Seche,1070,26.0
OBS_00234,234,Kwango,241,26.4,0.46,86,8,29.7,230,40,0,5,43,Pluie,9128,18.7
OBS_00235,235,Tshuapa,58,28.8,0.325,66,229,33.7,290,5,1,7,61,Seche,2677,21.03
OBS_00236,236,Haut-Katanga,245,24.8,0.304,73,54,22.4,340,8,0,4,120,Pluie,1713,35.29
OBS_00237,237,Haut-Lomami,105,20.6,0.45,91,65,35.5,540,3,0,4,98,Pluie,8349,18.15
OBS_00238,238,Sud-Ubangi,47,26.2,0.442,91,494,28.4,140,2,1,8,29,Seche,8687,20.71
OBS_00239,239,Sud-Kivu,247,25.4,0.608,83,38,37.0,280,11,0,4,108,Pluie,5000,38.57
OBS_00240,240,Lomami,103,29.2,0.504,56,43,12.7,380,19,0,8,148,Pluie,8536,38.95
OBS_00241,241,Haut-Uele,29,26.0,0.336,76,120,37.7,160,6,1,3,11,Seche,1113,6.88
OBS_00242,242,Lualaba,216,25.3,0.234,80,73,16.1,360,2,0,5,188,Pluie,2023,52.22
OBS_00243,243,Kongo Central,84,22.9,0.574,72,108,23.6,190,10,0,4,42,Seche,4477,22.11
OBS_00244,244,Kasaï-Oriental,259,30.6,0.454,93,146,48.2,380,9,1,8,157,Pluie,9298,41.32
OBS_00245,245,Mai-Ndombe,28,22.5,0.647,44,276,37.1,240,11,0,5,44,Seche,3626,18.33
